PREFIX_EI_DM ,REF GM    ,TAB_CFG     ,TAB_TESTES ,TIPO_AMOSTRA	    ,PN VISTEON   ,Spare    ,DES_MODELO        ,PREFIX_EI ,DISPLAY   ,APLIQUE   ,SERVIÇO  ,SPARE_5  ,SPARE_6
SJK15        ,26330825  ,SJK15.CFG   ,SJK15.TXT  ,TESTE	            ,VPKSJF-RP    ,-----    ,JBUC color        ,SJK15     ,COLOR     ,PF        ,NAO      ,         ,
SJK16        ,26330826  ,SJK16.CFG   ,SJK16.TXT  ,TESTE	            ,VPKSJF-PP    ,-----    ,JBUC color        ,SJK16     ,COLOR     ,NE        ,NAO      ,         ,
SJK29        ,26378862  ,SJK29.CFG   ,SJK29.TXT  ,TESTE    	    ,VPKSJF-AJU   ,-----    ,JBUA_Seg          ,SJK29     ,SEG       ,ADA       ,NAO      ,         ,
SJK30        ,26378860  ,SJK30.CFG   ,SJK30.TXT  ,TESTE    	    ,VPKSJF-EU    ,-----    ,JBUA_Mono         ,SJK30     ,MONO      ,LC        ,NAO      ,         ,
SJK31        ,26378859  ,SJK31.CFG   ,SJK31.TXT  ,TESTE	            ,VPKSJF-AGU   ,-----    ,JUBA_ Mono        ,SJK31     ,MONO      ,MD        ,NAO      ,         ,
SJK32        ,26378861  ,SJK32.CFG   ,SJK32.TXT  ,TESTE    	    ,VPKSJF-GU    ,-----    ,JBUA_Seg          ,SJK32     ,SEG       ,DG        ,NAO      ,         ,
SJK39        ,26375378  ,SJK11.CFG   ,SJK11.TXT  ,TESTE	            ,VPKSJF-MQ    ,-----    ,JBUC Mono         ,SJK39     ,MONO      ,EE        ,NAO      ,         ,
SJK40        ,26375379  ,SJK12.CFG   ,SJK12.TXT  ,TESTE	            ,VPKSJF-SQ    ,-----    ,JBUC Mono         ,SJK40     ,MONO      ,FE        ,NAO      ,         ,
SJK41        ,26375380  ,SJK13.CFG   ,SJK13.TXT  ,TESTE	            ,VPKSJF-KQ    ,-----    ,JBUC Mono         ,SJK41     ,MONO      ,HE        ,NAO      ,         ,
SJK42        ,26375381  ,SJK14.CFG   ,SJK14.TXT  ,TESTE	            ,VPKSJF-NQ    ,-----    ,JBUC Mono         ,SJK42     ,MONO      ,EE        ,NAO      ,         ,
SJK43        ,26375382  ,SJK15.CFG   ,SJK15.TXT  ,TESTE	            ,VPKSJF-RQ    ,-----    ,JBUC color        ,SJK43     ,COLOR     ,PF        ,NAO      ,         ,
SJK44        ,26375383  ,SJK16.CFG   ,SJK16.TXT  ,TESTE	            ,VPKSJF-PQ    ,-----    ,JBUC color        ,SJK44     ,COLOR     ,NE        ,NAO      ,         ,
SJK51        ,26378925  ,SJK51.CFG   ,SJK51.TXT  ,TESTE	            ,VPKSJF-MR    ,-----    ,JBUC Mono         ,SJK51     ,MONO      ,EE        ,NAO      ,         ,
SJK52        ,26378926  ,SJK52.CFG   ,SJK52.TXT  ,TESTE	            ,VPKSJF-SR    ,-----    ,JBUC Mono         ,SJK52     ,MONO      ,FE        ,NAO      ,         ,
SJK53        ,26378927  ,SJK53.CFG   ,SJK53.TXT  ,TESTE	            ,VPKSJF-KR    ,-----    ,JBUC Mono         ,SJK53     ,MONO      ,HE        ,NAO      ,         ,
SJK55        ,26378929  ,SJK55.CFG   ,SJK55.TXT  ,TESTE	            ,VPKSJF-RR    ,-----    ,JBUC color        ,SJK55     ,COLOR     ,PF        ,NAO      ,         ,
SJK56        ,26378930  ,SJK56.CFG   ,SJK56.TXT  ,TESTE	            ,VPKSJF-PR    ,-----    ,JBUC color        ,SJK56     ,COLOR     ,NE        ,NAO      ,         ,
SJK65        ,26375379  ,SJK65.CFG   ,SJK65.TXT  ,TESTE	            ,VPKSJF-SQ    ,-----    ,JBUC Mono         ,SJK65     ,MONO      ,FE        ,NAO      ,         ,
